timestamp,src_ip,dst_ip,dst_port,protocol,duration_ms,bytes_out,bytes_in,packets_out,packets_in,label
2026-05-01T10:00:00,10.0.0.15,185.199.110.8,443,TCP,940,420,690,5,6,c2
2026-05-01T10:01:00,10.0.0.15,185.199.110.8,443,TCP,910,410,710,5,6,c2
2026-05-01T10:02:00,10.0.0.15,185.199.110.8,443,TCP,930,430,700,5,6,c2
2026-05-01T10:03:00,10.0.0.15,185.199.110.8,443,TCP,920,415,690,5,6,c2
2026-05-01T10:04:00,10.0.0.15,185.199.110.8,443,TCP,950,425,715,5,6,c2
2026-05-01T10:05:00,10.0.0.15,185.199.110.8,443,TCP,910,405,695,5,6,c2
2026-05-01T10:06:00,10.0.0.15,185.199.110.8,443,TCP,940,435,705,5,6,c2
2026-05-01T10:07:00,10.0.0.15,185.199.110.8,443,TCP,920,420,700,5,6,c2
2026-05-01T10:08:00,10.0.0.15,185.199.110.8,443,TCP,930,415,690,5,6,c2
2026-05-01T10:09:00,10.0.0.15,185.199.110.8,443,TCP,945,425,705,5,6,c2
2026-05-01T10:00:18,10.0.0.24,34.117.59.81,443,TCP,7100,4200,89100,20,78,benign
2026-05-01T10:02:51,10.0.0.24,34.117.59.81,443,TCP,8900,3800,76000,18,68,benign
2026-05-01T10:14:02,10.0.0.24,34.117.59.81,443,TCP,5400,2600,51000,12,44,benign
2026-05-01T10:21:33,10.0.0.24,34.117.59.81,443,TCP,12100,5100,120300,24,110,benign
2026-05-01T10:31:09,10.0.0.24,34.117.59.81,443,TCP,6300,2900,64000,14,56,benign
2026-05-01T10:04:11,10.0.0.31,172.217.16.14,443,TCP,15600,9200,340000,45,300,benign
2026-05-01T10:11:42,10.0.0.31,172.217.16.14,443,TCP,18300,11200,420000,51,370,benign
2026-05-01T10:25:18,10.0.0.31,172.217.16.14,443,TCP,9200,7100,190000,35,175,benign
2026-05-01T10:40:00,10.0.0.77,203.0.113.42,8443,TCP,780,360,510,4,5,c2
2026-05-01T10:42:00,10.0.0.77,203.0.113.42,8443,TCP,790,355,505,4,5,c2
2026-05-01T10:44:00,10.0.0.77,203.0.113.42,8443,TCP,800,365,515,4,5,c2
2026-05-01T10:46:00,10.0.0.77,203.0.113.42,8443,TCP,775,350,500,4,5,c2
2026-05-01T10:48:00,10.0.0.77,203.0.113.42,8443,TCP,790,360,510,4,5,c2
